id,url,title,source,time,extract date,concat,lookup
1,https://docs.microsoft.com/en-us/azure/app-service-web/app-service-web-tutorial-custom-domain,how to map an existing domain,http://www.fp.fo/news-area/press-releases/,2.5509192943573 seconds,2020-08-21,how to map an existing domainhttps://docs.microsoft.com/en-us/azure/app-service-web/app-service-web-tutorial-custom-domain,True
2,https://blogs.msdn.microsoft.com/appserviceteam/2017/08/08/faq-app-service-domain-preview-and-custom-domains/,App Service Domain FAQ,http://www.fp.fo/news-area/press-releases/,2.5509192943573 seconds,2020-08-21,App Service Domain FAQhttps://blogs.msdn.microsoft.com/appserviceteam/2017/08/08/faq-app-service-domain-preview-and-custom-domains/,True
3,https://www.lundin-energy.com/,HOME,https://www.lundin-petroleum.com/media-centre/,7.422741889953613 seconds,2020-08-21,HOMEhttps://www.lundin-energy.com/,True
4,https://www.lundin-energy.com/about-us/,ABOUT US,https://www.lundin-petroleum.com/media-centre/,7.422741889953613 seconds,2020-08-21,ABOUT UShttps://www.lundin-energy.com/about-us/,True
5,https://www.lundin-energy.com/operations/,OPERATIONS,https://www.lundin-petroleum.com/media-centre/,7.422741889953613 seconds,2020-08-21,OPERATIONShttps://www.lundin-energy.com/operations/,True
6,https://www.lundin-energy.com/investors/,INVESTORS,https://www.lundin-petroleum.com/media-centre/,7.422741889953613 seconds,2020-08-21,INVESTORShttps://www.lundin-energy.com/investors/,True
7,https://www.lundin-energy.com/media-centre/,MEDIA CENTRE,https://www.lundin-petroleum.com/media-centre/,7.422741889953613 seconds,2020-08-21,MEDIA CENTREhttps://www.lundin-energy.com/media-centre/,True
8,https://www.lundin-energy.com/sustainability/,SUSTAINABILITY,https://www.lundin-petroleum.com/media-centre/,7.422741889953613 seconds,2020-08-21,SUSTAINABILITYhttps://www.lundin-energy.com/sustainability/,True
9,?s=,Search,https://www.lundin-petroleum.com/media-centre/,7.422741889953613 seconds,2020-08-21,Search?s=,True
10,https://www.facebook.com/lundinenergy/,Facebook,https://www.lundin-petroleum.com/media-centre/,7.422741889953613 seconds,2020-08-21,Facebookhttps://www.facebook.com/lundinenergy/,True
11,https://www.instagram.com/lundinenergy/?hl=en,Instagram,https://www.lundin-petroleum.com/media-centre/,7.422741889953613 seconds,2020-08-21,Instagramhttps://www.instagram.com/lundinenergy/?hl=en,True
12,https://www.linkedin.com/company/lundinenergy,Linkedin,https://www.lundin-petroleum.com/media-centre/,7.422741889953613 seconds,2020-08-21,Linkedinhttps://www.linkedin.com/company/lundinenergy,True
13,https://www.youtube.com/LundinEnergy,YouTube,https://www.lundin-petroleum.com/media-centre/,7.422741889953613 seconds,2020-08-21,YouTubehttps://www.youtube.com/LundinEnergy,True
14,https://myirapp.com/lundin/,see details…,https://www.lundin-petroleum.com/media-centre/,7.422741889953613 seconds,2020-08-21,see details…https://myirapp.com/lundin/,True
15,https://www.lundin-energy.com/download/appointment-of-daniel-fitzgerald-as-chief-operating-officer-effective-1-january-2021/?wpdmdl=29698&refresh=5f400d404484c1598033216/,Appointment of Daniel Fitzgerald as Chief Operating Officer effective 1 January 2021,https://www.lundin-petroleum.com/media-centre/,7.422741889953613 seconds,2020-08-21,Appointment of Daniel Fitzgerald as Chief Operating Officer effective 1 January 2021https://www.lundin-energy.com/download/appointment-of-daniel-fitzgerald-as-chief-operating-officer-effective-1-january-2021/?wpdmdl=29698&refresh=5f400d404484c1598033216/,False
16,https://www.lundin-energy.com/download/lundin-energy-announces-nick-walker-appointed-as-president-and-ceo-of-lundin-energy-effective-1-january-2021/?wpdmdl=29660&refresh=5f400d4045d051598033216/,Lundin Energy Announces Nick Walker appointed as President and CEO of Lundin Energy effective 1 January 2021 (regulatory),https://www.lundin-petroleum.com/media-centre/,7.422741889953613 seconds,2020-08-21,Lundin Energy Announces Nick Walker appointed as President and CEO of Lundin Energy effective 1 January 2021 (regulatory)https://www.lundin-energy.com/download/lundin-energy-announces-nick-walker-appointed-as-president-and-ceo-of-lundin-energy-effective-1-january-2021/?wpdmdl=29660&refresh=5f400d4045d051598033216/,False
17,https://www.lundin-energy.com/download/report-for-the-six-months-ended-30-june-2020-regulatory/?wpdmdl=28793&refresh=5f400d40468ca1598033216/,Report for the six months ended 30 June 2020 (regulatory),https://www.lundin-petroleum.com/media-centre/,7.422741889953613 seconds,2020-08-21,Report for the six months ended 30 June 2020 (regulatory)https://www.lundin-energy.com/download/report-for-the-six-months-ended-30-june-2020-regulatory/?wpdmdl=28793&refresh=5f400d40468ca1598033216/,False
18,https://www.lundin-energy.com/download/update-on-second-quarter-2020-financial-results-and-audiocast-details-for-presentation-on-29-july-2020/?wpdmdl=28687&refresh=5f400d40477f81598033216/,Update on second quarter 2020 financial results and audiocast details for presentation on 29 July 2020,https://www.lundin-petroleum.com/media-centre/,7.422741889953613 seconds,2020-08-21,Update on second quarter 2020 financial results and audiocast details for presentation on 29 July 2020https://www.lundin-energy.com/download/update-on-second-quarter-2020-financial-results-and-audiocast-details-for-presentation-on-29-july-2020/?wpdmdl=28687&refresh=5f400d40477f81598033216/,False
